"WORD","PART_OF_SPEECH","PRONUNCIATION","DEFINITION","LITERAL_TRANSLATION","RELATED_PHRASE","RELATED_PHRASE_DEFINITION","RELATED_PHRASE_LITERAL_TRANSLATION","RELATED_PHRASE_AUDIO_TITLE","RELATED_PHRASE_AUDIO_FILENAME","RELATED_PHRASE_AUDIO_SOURCE","CATEGORIES","CULTURAL_NOTE","REFERENCE","INCLUDE_IN_GAMES","CHILD_FRIENDLY","AUDIO_TITLE","AUDIO_DESCRIPTION","AUDIO_FILENAME","AUDIO_SHARED_WITH_OTHER_DIALECTS","AUDIO_CHILD_FOCUSED","AUDIO_SOURCE","AUDIO_RECORDER","IMG_TITLE","IMG_FILENAME","IMG_DESCRIPTION","IMG_SOURCE","USERNAME","CONTRIBUTOR"
"gyiimk","transitive verb","gyiimk","wipe","","Mangyiimgn aks da la̱x ha'liwaalxs.","Wipe the water up off the floor.","","","","","","","Dunn, Practical Dictionary entry: 594. Dunn, Practical Dictionary entry: 1693.","1","","","","","","","","","Image depicting: gyiimk","Unit 3- action- to dry dishes.jpg","","Image courtesy of Aboriginal Education, School District 52.","","",
"'awa̱n","intransitive verb","","stay up (pl.) (includes the cultural practice of several people sitting watch by the coffin before a funeral)","","G̱al'naga 'awa̱n ła hup'l.","They stayed up too late at night.","","","","Fumiko S 16.1","","","","1","","Person saying: 'awa̱n","","","","","","","","","","","","",
"txa̱l'a̱xk","intransitive verb","","belonging, when you fit in with someone","","Txa̱l'axga boot a woop.","The boat made it to the wharf.","","","","","","","","1","","","","","","","","","","","","","","",
"gyeeka","common noun","*gyee/ka","south","","Heelda didoo a gyeeka.","There are many southern people down south.","","Spoken example sentence with word: gyeeka","gyeeka-tl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 569.","1","","","","gyeeka-tl-hb-01.mp3","","","","","","","","","","",
"gyeeka","common noun","*gyee/ka","below; down on the beach (Hartley Bay dialect)","","Ła ts'iika xsoo da hał gyeeka.","The canoe is dried up on the beach.","","","","Fumiko S 111.1","","","Dunn, Practical Dictionary entry: 569.","1","","","","","","","","","","","","","","",
"gyeeka","common noun","*gyee/ka","lower","","Ada k'wilii stitches da 'nageeka aaxt, ada gup'lt da 'nalaxa.","And he got three stitches on his bottom lip and two on his upper lip.","","","","Fumiko S 11.1","","","Dunn, Practical Dictionary entry: 569.","1","","","","","","","","","","","","","","",
"liksgyeda la g̱oot","intransitive verb","","change one’s mind","","da wudisgatga wil liksgyeda la g̱ootsga 'wii xaat.","then his big slave gradually changed his mind.","","","","HB 03 Vi 56.1","","","","1","","","","","","","","","","","","","","",
"la̱xmoon","common noun","la̱x/*moon","on the sea, seacoast","","La̱x moon di wil dzog̱a Gitxaała.","The Kitkatla people live on the sea.","","","","","","","","1","","Person saying: la̱xmoon","","","","","","","","","","","","",
"xsmuu","intransitive verb","","groan, moan","","","","","","","","","","","1","","","","","","","","","","","","","","",
"'liidist'uus","transitive verb","'lii/dis/*t'uus","push (pl.)","","","","","","","","","","","1","","","","","","","","","","","","","","",
"'liidist'uus","transitive verb","'lii/dis/*t'uus","turn on (pl.)","","Darlene, 'liidist'uusa stuub.","Darlene, turn on the stove.","","Spoken example sentence with word: 'liidist'uus","'liidist'uus-em-hb-02.mp3","","","","","1","","","","'liidist'uus-em-hb-02.mp3","","","","","Image depicting: 'liidist'uus","TURNING ON STOVE 1.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"sgyedm ḵ'a̱lmoos","common noun","*sgyed/m/ḵ'a̱l/*moos","spider crab","","Akandi wilaay goo 'nahaw gyet a sgyedm ḵ'a̱lmoos.","I don't know what people mean by spidercrab.","","","","","","","","1","","","","","","","","","Image depicting: sgyedm ḵ'a̱lmoos","SPIDER CRAB.jpg","","Image from Print Artist software, version 23, Bonus Graphics CD1. ","","",
"maasmg̱a̱n","common noun","","bark of a tree","","","","","","","","","","Dunn, Practical Dictionary entry: 1364.","1","","Person saying: maasmg̱a̱n","","","","","","","","","","","","",
"'wii xba̱xt","common noun","'wii/*xba̱xt","breaker; breaking wave","","Ła dzog̱mg̱oydiksa 'wii xba̱xt.","There is a breaker coming ashore.","","Spoken example sentence with word: 'wii xba̱xt","'wii_xbaxt-dl-hb-03.mp3","","","","","1","","","","'wii_xbaxt-dl-hb-03.mp3","","","","","Image depicting: 'wii xba̱xt","The Four Seasons 051.jpg","","Image from Print Artist Platinum software, version 23, Supplementary Graphics CD.","","",
"tgi 'neeł","intransitive verb","","be let down","","Hagwil tgi 'neeła xsoo.","The canoe slid down slowly.","","Spoken example sentence with word: tgi 'neeł","636862831149515403A LexExampleSentence.mp3","Ellen Mason, Txałgiiw","","","","1","","","","636862831149515403A LexExampleSentence.mp3","","","","","","","","","","",
"side'wah","common noun","","where you tie up a boat (e.g. a buoy, or a cleat on a float)","","","","","","","","","","","1","","","","","","","","","","","","","","",
"g̱a̱nlumaaksa̱","common noun","g̱a̱n/lu/*maa/ksa̱","washboard; washing machine","","Ła 'nakda, g̱a̱nlumaaksa̱ di hooym wil luhayaaksm.","Long ago, we used a wooden washboard to do our washing.","","Spoken example sentence with word: g̱a̱nlumaaksa̱","ganlumaaksa-mb-kk-01.mp3","","","","","1","","","","ganlumaaksa-mb-kk-01.mp3","","","","","Image depicting: g̱a̱nlumaaksa̱","WASHBASIN & WASHBOARD.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"ma̱'awlk","common noun","ma'awlk","anchor line (originally a rope made of cedarbark)","","Sgüüdm 'wii 'naga ma'awlk a la̱x boot.","Put a long anchor line on the boat.","","Spoken example sentence with word: ma̱'awlk","ma'awlk-vn-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1367.","1","","Person saying: ma̱'awlk","","ma'awlk-vn-hb-01.mp3","","","","","","","","","","",
"ma̱'awlk","common noun","ma'awlk","","","","","","","","","","","Dunn, Practical Dictionary entry: 1367.","1","","Person saying: ma̱'awlk","","","","","","","","","","","","",
"liheediks","intransitive verb","la̱/*hee/diks","swim (pl.)","","Ap luk'wil heelda k'abatgüüłga liheediksadit daawł.","Lots of children were swimming on Saturday.","","Spoken example sentence with word: liheediks","laheediks-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 666.  Dunn, Practical Dictionary entry: 1086. Dunn, Practical Dictionary entry: 1089.","1","","","","laheediks-dl-hb-01.mp3","","","","","Image depicting: liheediks","People - General 318.jpg","","Image from Print Artist Platinum software, version 23, Supplementary Graphics CD.","","",
"gwiniits'n","transitive verb","gwi/*niits'/n","show","","Gwiniits'nł a k'oy.","Show it to me.","","Spoken example sentence with word: gwiniits'n","gwini'itsnL a k'oy-db-kk-06.mp3","","","","Dunn, Practical Dictionary entry: 516.  Dunn, Practical Dictionary entry: 548.","1","","","","gwini'itsnL a k'oy-db-kk-06.mp3","","","","","Image depicting: gwiniits'n","SHOWING CATCH 3.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"ak'aytk","transitive verb","ak/*'aytk","call by name; pronounce; put on a name (pl.)","","ak'aytk - Ła dmt ak'aytga na wuwaat.","They are going to put on their names.","","Spoken example sentence with word: ak'aytk","ak’aytk-call by name-vn-hb-2014.mp3","","","","Dunn, Practical Dictionary entry 122; cont.","1","","","","ak’aytk-call by name-vn-hb-2014.mp3","","","","","","","","","","",
"g̱a̱xba̱ a̱laskw","intransitive verb","*g̱a̱x/ba̱/'a/*laskw","sometimes weak","","","","","","","","","","Dunn, Practical Dictionary entry: 440.","1","","","","","","","","","","","","","","",
"lleex","intransitive verb","","dispute, be troubled by something","","ada wil lleeg̱a Nisg̱a'a.","and then the Nisg̱a’a were troubled","","","","Beynon m 48.1","","","","1","","","","","","","","","","","","","","",
"ts'its'amti","common noun","ts'i/*ts'am/ti","thunderbird","","","","","","","","","","Dunn, Practical Dictionary entry: 1921.","1","","","","","","","","","","","","","","",
"sg̱a̱n sa̱xsaasa̱x","common noun","*sg̱a̱n/sa̱x/saa/*sa̱x","thornbush tree","","Heelda sg̱a̱n sa̱xsaasa̱x a spa̱g̱ayt g̱a̱ng̱a̱n.","There are many thornbushes in the forest.","","","","","","","Dunn, Practical Dictionary entry: 1637.  Dunn, Practical Dictionary entry: 1676.","1","","","","","","","","","","","","","","",
"sa̱xslooygm gyet","common noun","*sa̱xs/sa/*looy/gm/*gyet","bus","","Sa̱xslooygm gyet dm wil 'yag̱amoxgu dm hii g̱alm waat'nu.","I'm taking the bus to go shopping.","","Spoken example sentence with word: sa̱xslooygm gyet","saxs_salooygm_gyet-dl-hb-01.mp3","","","","","1","","","","saxs_salooygm_gyet-dl-hb-01.mp3","","","","","Image depicting: sa̱xslooygm gyet","BUS.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"sa̱xslooygm gyet","common noun","*sa̱xs/sa/*looy/gm/*gyet","ferry","","Hiduu ła dm gyoo dm di sa̱xslooygm gyet.","It sounds like we will be getting our ferry.","","","","","","","","1","","","","","","","","","","","","","","",
"wa̱p 'nłuudiks","common noun","*wa̱p/'n/*łuu/disk","museum","","'Wiileeksa wa̱p 'nłuudiks da Kxeen.","Prince Rupert has a big museum.","","Spoken example sentence with word: wa̱p 'nłuudiks","wap_'nluudisk-dl-hb-03.mp3","","","","","1","","","","wap_'nluudisk-dl-hb-03.mp3","","","","","Image depicting: wa̱p 'nłuudiks","MUSEUM1.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"dił","conjunction","dił","and; with (also rarely joins two words or phrases where the second one is a common noun); also seems to sometimes join two verbs - e.g. moksk dił masga gwida'ats Alik below.","","Ḵ'odzu sa'winsk dił ha'liplee.","I cut the paper and the tablecloth [at the same time].","","Spoken example sentence with word: dił","d-diL-dr-hb-01_1.mp3","","","","","1","","","","d-diL-dr-hb-01_1.mp3","","","","","","","","","","",
"gyiwila̱xłk","intransitive verb","gyi/wil/*a̱xłk","get by; get past","","Ḵ'am ḵ'a gyiwil a̱xłga'nu.","I just made it by.","","","","","","","","1","","","","","","","","","","","","","","",
"'wahsaal","transitive verb","'wah/*saal","handle roughly","","Gyiloom 'wahsaal kłgüün.","Don't handle your children roughly.","","","","","","","Dunn, Practical Dictionary entry: 2034.","1","","","","","","","","","","","","","","",
"'ya̱g̱a̱ hu'un","transitive verb","","chase down","","","","","","","","","","","1","","","","","","","","","","","","","","",
"txa̱laan","intransitive verb","txa̱/*laan","behind; usage: Meaning, not the first and not necessarily the last.; after","","Adat luyaaka txalaansga awta.","And he followed behind porcupine.","","Spoken example sentence with word: txa̱laan","txalaan-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1889.","1","","","","txalaan-dl-hb-01.mp3","","","","","Image depicting: txa̱laan","BABY - THE END.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"txa̱laan","intransitive verb","txa̱/*laan","leave","","Ada al sm txalaansga 'yuuta da al gyik dzag̱a daawła sup'asm 'yuutaga","And as soon as the man left, then again the young man went across","","","","Beynon m 36.1","","","Dunn, Practical Dictionary entry: 1889.","1","","","","","","","","","","","","","","",
"la̱x'aam","common noun","","clearing","","ada sm ama g̱ayna yaakit ada ła ma̱n ax'axłgit a la̱x sg̱aniist a 'wii la̱x'aamga ada sm sg̱a haytga 'wii waalpga wudi 'wii sg̱a̱'niist.","and they were following a good trail and when they came up to the top of the mountains they came to a clear spot and saw a big house standing in the middle of what seemed like a big mountain.","","","","Beynon m 48.1","","","","1","","Person saying: la̱x'aam","","","","","","","","","","","","",
"'yag̱a la̱xsiiks","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"g̱a̱nalaaẅ","common noun","g̱a̱n/a/*laaẅ","seal club","","G̱a̱nalaaẅ hoy łaagyigyet, łat yedza üüla.","A seal club was used to club seals long ago.","","","","","","","","1","","","","","","","","","","","","","","",
"dziiws","common noun","dziiws","daylight; daytime","","Ła 'naga dziiws da dza̱g̱a̱ł baa 'wii boot.","Long after daylight is when the big boat came.","","Spoken example sentence with word: dziiws","dziiws-pr-hb-01.mp3","Perry Reece, Txałgiiw","","","Dunn, Practical Dictionary entry: 265.","1","","Person saying: dziiws","","dziiws-pr-hb-01.mp3","","","","","Image depicting: dziiws","Unit 8- object- daytime.jpg","","Image courtesy of Aboriginal Education, School District 52","","",
"waalp yüüsk","common noun","","house of seclusion","","t'in lu haboolsga łguułgm hana'axga a waalp yüüsk dawaalsga mootgit.","who was caring for her daughter in the house of seclusion, the only ones saved.","","Spoken example sentence with word: waalp yüüsk","636863846820237946A LexExampleSentence.mp3","Beynon m 77.1","","","","1","","","","636863846820237946A LexExampleSentence.mp3","","","","","","","","","","",
"gyigyet","common noun","gyi/*gyet","people (pl.)","","Liksgyigyedm gyigyedit dip gwii.","They are foreign (different kind of people).","","Spoken example sentence with word: gyigyet","gyigyet-sc-k-01.mp3","","","","Dunn, Practical Dictionary entry: 581.  Dunn, Practical Dictionary entry: 602.","1","","","","gyigyet-sc-k-01.mp3","","","","","Image depicting: gyigyet","CROWD 1.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"hat'ees","common noun","hat'ees","bowstring","","Ła akat naał int dzapł hat'ees gya'wn.","No one makes bowstring anymore.","","","","","","","Dunn, Practical Dictionary entry: 1842.","1","","","","","","","","","","","","","","",
"'wiileeksa aks","intransitive verb","","rising tide","","","","","","","","","","","1","","","","","","","","","","","","","","",
"xł'na=","preverbal","","a certain place or spot","","Ada wil ḵ'adaawłt, sm xł'na maxsk a ts'm t'aa.","","They went and dived in the lake. ","","","Boas, Fr 1350.1","","","","1","","","","","","","","","","","","","","",
"xł'na=","preverbal","","against","","","","","","","","","","","1","","","","","","","","","","","","","","",
"yaask","intransitive verb","yaask","distribute gifts (for example by a woman to her husband's sisters at her children's ear piercing); pass the amwaal at a feast","","Sgüü dm yaasga noo dzida gyełmuu łguułgm hana̱'a̱xt.","A mother has to give out gifts when her daughter's ears are pierced.","","Spoken example sentence with word: yaask","yaask-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 2199.","1","","","","yaask-dl-hb-03.mp3","","","","","","","","","","",
"txa k'üültk","intransitive verb","","whole","","'Wii txa k'üültgm g̱alts'aptga ts'ilm g̱awdit a wil lu t'aasga noot ada miilkt a gwa'a a 'wii aatga wag̱ayt wil aksyaagwa dziiwst.","The entire village came in where their mother was and they danced for her all night until sunrise.","","","","Beynon m 274.1","","","","1","","","","","","","","","","","","","","",
"p'asii","common noun","p'a̱/*sii","diapers","","Ła dm luhayaaks p'a̱siis Anni.","Annie is going to wash diapers.","","Spoken example sentence with word: p'asii","636886174832802961A LexExampleSentence.mp3","","","","Dunn, Practical Dictionary entry: 1592.","1","","Person saying: p'asii","","636886174832802961A LexExampleSentence.mp3","","","","","","","","","","",
"Sgüüxs","common noun","sgüüxs","Southern Tsimshian language","","Ts'uusga wil liksgyeda wila al'algya̱g̱a Sgüüxs.","The Southern Tsimshian language is spoken a little bit differently.","","","","","","","Dunn, Practical Dictionary entry: 1686.","1","","","","","","","","","","","","","","",
"Sgüüxs","common noun","sgüüxs","Old Sm'algyax","","","","","","","","","","Dunn, Practical Dictionary entry: 1686.","1","","","","","","","","","","","","","","",
"haks","transitive verb","haks","call names; criticize","","Gyiloom haksa silagyedn.","Stop criticizing other people.","","Spoken example sentence with word: haks","haks-mw-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 703.","1","","Person saying: haks","","haks-mw-hb-01.mp3","","","","","","","","","","",
"hanwaay","transitive verb","han/*waay","pay tribute","","Ła 'nii dm hanwaayu gwa̱'a̱ da k'wan.","This is what I am paying you.","","","","","","","","1","","","","","","","","","","","","","","",
"gyep'is","transitive verb","","scoop","","Gyiisgida k'üül wil k'yep di k'yep dip brailer gyep'ist da hoon, da laxHaida.","He got over a hundred brailers of fish on the Charlottes.","","","","Fumiko 0 12.1","","","","1","","","","","","","","","","","","","","",
"hoon","common noun","hoon","salmon; hoon may also refer to fish in general -- e.g. 'liksgyigyeda hoon' means 'any kind of fish'","","Łat k'yilamdat Arnold hoon as nagwaat.","Arnold gave fish to his father.","","Spoken example sentence with word: hoon","kyilams-arnold-hoon-ca-hb-79.mp3","","","","Dunn, Practical Dictionary entry: 804.","1","","","","kyilams-arnold-hoon-ca-hb-79.mp3","","","","","Image depicting: hoon","hoon2.bmp","","","","",
"si'in","preverbal","","maybe; already","","Ła 'nii si'inł siwaatgida gwii a g̱adzak'eeẅ, 'nii?","I guess that's what they call g̱adzak’eeẅ, right?","","","","HB 07 Co 78.1","","","","1","","","","","","","","","","","","","","",
"-t","CL-INIT","","3rd person ergative particle, used as a 'placeholder' attached to the clause-initial tense or aspect marker or conjunction, to signal that the following common or proper noun subject is 3rd person; used as the subject in transitive sentences","","Lu yaaka'nu g̱am wil yaayu ada wilt 'waayu haas.","The dog followed my tracks and found me.","","Spoken example sentence with word: -t","t_pro-ab-takwaan.mp3","","","","","1","","","","t_pro-ab-takwaan.mp3","","","","","","","","","","",
"txal axga g̱oot","transitive verb","","like someone","","Wudi sgatga txal axga g̱ooda hana'a gwaay, a 'yuuta gwa̱'a̱.","It seemed like this woman started to like this man.","","","","HB 05 Vi 31.1","","","","1","","","","","","","","","","","","","","",
"g̱a̱sits'a̱'a̱x","intransitive verb","g̱a̱/si/*ts'a̱'a̱x","get clams (pl.), dig clams (pl.)","","G̱a̱sits'a̱'a̱xt dip dzi'i dis ya'a.","Grandma and grandpa went clam digging.","","Spoken example sentence with word: g̱a̱sits'a̱'a̱x","gasits'a'ax-dl-hb-01.mp3","","","","","1","","","","gasits'a'ax-dl-hb-01.mp3","","","","","","","","","","",
"wils=","prenominal","wils","kind of","","Goł wils liimidu dm yaatm?","What kind of song will we sing?","","","","","","","","1","","","","","","","","","","","","","","",
"txa̱lsg̱oksk","intransitive verb","","short of (e.g. money or goods) - not enough to go round","","","","","","","","","","","1","","","","","","","","","","","","","","",
"hagwilhuum g̱a̱delpk","common noun","ha/gwil/*huu/g̱a̱/*delpk","anchor line","","Ał sgüüdi hagwilhuum g̱a̱deelpk a la̱x boodn?","Do you have an anchor line on your boat?","","Spoken example sentence with word: hagwilhuum g̱a̱delpk","hagwilhuu3-mw-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 676.","1","","Person saying: hagwilhuum g̱a̱delpk","","hagwilhuu3-mw-hb-01.mp3","","","","","","","","","","",
"lutgu'uumł","common noun","","bowl (a feature of the landscape in the mountains)","","","","","","","","","","","1","","","","","","","","","","","","","","",
"waa","common noun","waa","name","","Naadu di waan?","What is your name?","","Spoken example sentence with word: waa","waa-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 2007.  Dunn, Practical Dictionary entry: 2014.  entry continued.","1","","","","waa-dl-hb-03.mp3","","","","","Image depicting: waa","Unit 6- object- name.jpg","","Image courtesy of Aboriginal Education, School District 52.","","",
"g̱a̱l mmiilk","intransitive verb","g̱a̱m/*miilk","play (pl.)","","Wayi, dzida al kwdiin ada 'niitsn wil g̱a̱l mmiilksga k'abatgüüłk a gyiika.","and when you feel hungry you see where the children are playing just below","","","","Beynon m 147.1","","","Dunn, Practical Dictionary entry: 373.","1","","","","","","","","","","","","","","",
"g̱a̱l mmiilk","intransitive verb","g̱a̱m/*miilk","play (Hartley Bay dialect)","","Sila g̱a̱mmiilga dziiẅ wil baa boot.","Porpoises play with the boat.","","","","","","","Dunn, Practical Dictionary entry: 373.","1","","","","","","","","","Image depicting: g̱a̱l mmiilk","CHILDREN PLAYING WITH BALL.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"a dm","CL-INIT subordinating conjunction","a*dm","in order to; so that",""," ...a dm wil amukst.","...so that he/she would listen.","","Spoken example sentence with word: a dm","636937080501044672A LexExampleSentence.mp3","Beatrice Robinson, Gitxaała","","","","1","","","","636937080501044672A LexExampleSentence.mp3","","","","","","","","","","",
"sg̱ansig̱ootk","intransitive verb","","omething foolish","","Sg̱a̱nsig̱ootgas Dzon.","Dzon has a bad plan.","","","","","","","","1","","","","","","","","","","","","","","",
"ḵ'as=","prenominal","","lacking","","","","","","","","","","","1","","","","","","","","","","","","","","",
"Gitando","common noun","","Gitando - people of the weirs; the term is also glossed as 'people of the other side'","","Gitando","Gitando - "the people of the weirs"; one of the 10 (now 9) tribes of Coast Tsimshian who lived along the lower river and the coast from the mouth of the Skeena to the mouth of the Nass","","","","Sm'algya 86.1","","","","1","","","","","","","","","","","","","","",
"Sm'algya̱x","common noun","sm/*'al/gya̱x","language of the Ts'msyen","","Dm suwilaawksu Sm'algya̱x.","I am learning the Ts'msyen language.","","","","","","","Dunn, Practical Dictionary entry: 1727.","1","","","","","","","","","","","","","","",
"Sm'algya̱x","intransitive verb","sm/*'al/gya̱x","speak Sm'algyax","","Lu'aam g̱oot ła 'nax'nuu Sm'algyaxs Fumiko.","She was happy when she heard Fumiko speak Sm’algya̱x.","","","","Fumiko S 40.1","","","Dunn, Practical Dictionary entry: 1727.","1","","","","","","","","","","","","","","",
