"WORD_ID","WORD","PART_OF_SPEECH","PRONUNCIATION","DEFINITION","LITERAL_TRANSLATION","RELATED_PHRASE","RELATED_PHRASE_DEFINITION","RELATED_PHRASE_LITERAL_TRANSLATION","RELATED_PHRASE_AUDIO_TITLE","RELATED_PHRASE_AUDIO_FILENAME","RELATED_PHRASE_AUDIO_SOURCE","CATEGORIES","CULTURAL_NOTE","REFERENCE","INCLUDE_IN_GAMES","CHILD_FRIENDLY","AUDIO_TITLE","AUDIO_DESCRIPTION","AUDIO_FILENAME","AUDIO_SHARED_WITH_OTHER_DIALECTS","AUDIO_CHILD_FOCUSED","AUDIO_SOURCE","AUDIO_RECORDER","IMG_TITLE","IMG_FILENAME","IMG_DESCRIPTION","IMG_SOURCE","USERNAME","CONTRIBUTOR"
"157f4ed9-7d1d-4b4d-87fa-e177c802b58b","","n","","a domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, and a barking, howling, or whining voice; it is widely kept as a pet or for work or field sports","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"4830ea04-c873-44ac-b4e7-f545530b7ec5","","adv","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"8974c22f-c9ff-4031-b87f-168426f12f0b","","v","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"92543eea-5390-4f70-bb75-1000a1c631b4","","n","","","","Le lion, la lionne et les lionceaux rugissent.","The lion, the lioness and the lion cubs roar.","","","","","","","","1","1","","","","","","","","","","","","admin",""
"c148edf9-2070-4c44-a947-2c65ceff1159","","n","","","","","","","","","","","","","1","1","","","","","","","","Image depicting: ","rainbow.jpg","","","admin",""
"d8f08ce2-7fa1-47ee-a25f-a662c27c8205","","v","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"9cbc06fb-04b7-44d5-b3cd-a2f02c226ead","","v","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"3e434a93-5207-4b4f-b163-ac379fd714a4","","v","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"b1915980-63d7-4a0c-a94f-1c5a5ef80948","","n","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"c8083231-0c63-4705-beee-c1d354efe9c1","","n","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"2f3d21f4-1b93-4ad6-8294-4854d6c180a3","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"fc45c2ee-be0c-4b6e-83bb-50f8e35c0589","","n","","a visible mass of condensed water vapor floating in the atmosphere, typically high above the ground","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"309196bb-b435-493c-863d-39515c79e32e","","n","","","","Le chaton avait une énergie débordante, poursuivant la balle de laine pendant des heures.","The kitten had boundless energy, chasing the ball of yarn for hours.","","","","","","","","1","1","","","","","","","","Image depicting: ","kitten.jpg","","","admin",""
"57ba36c5-fa3f-420d-be8b-9166dc120e35","","adj","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"cb9bb6ef-859f-4ad5-9437-2764560d3452","","n","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"e6e4c7b4-f16d-47b5-a121-da4a54163856","","n","","a small rodent that typically has a pointed snout, relatively large ears and eyes, and a long tail","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"dd19d76e-158d-49c7-87b2-76a17e157b7a","","n","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"6c12497d-62fa-4c4d-b2c1-e70e5cbbb6df","","adv","","","","Cette boîte est trop grande pour passer la porte.","This box is too big to fit through the door.","","","","","","","","1","1","","","","","","","","","","","","admin",""
"1184c8a3-964c-4524-a275-fec626498300","","v","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"fb8a9b9f-a9eb-49e3-b593-87f14173e4c6","","v","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"fb7bbe17-d0d6-4b17-88dc-c34bf2df5d6e","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"5031bc62-65cf-469c-9ce4-8a1d7dfc2ca5","","adj","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"eb9165e0-f61a-43cf-b60d-846a9ef8ca05","","n","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"9c56ffcf-d303-4170-9b6f-62d49632066a","","v","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"d4c4b017-78f5-4cb5-8aef-018c95ae961e","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"c906a044-ed4c-452f-b917-11cf04ff7cd3","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"4ca222c8-f15c-4eeb-b5de-031d5dd113de","","n","","make or become warm or hot.","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
